Name,Population,Population II,Male Population,Drive to Work - Solo Driver,Public Transportation,Work from Home,Zipcode
ZCTA5 29923,377,,,167,6,0,29923
ZCTA5 29941,587,,,185,0,0,29941
ZCTA5 29935,3928,,,1681,51,7,29935
ZCTA5 29936,13666,,,4672,0,272,29936
ZCTA5 29075,3028,,,1153,1,24,29075
ZCTA5 29081,1317,,,338,11,17,29081
ZCTA5 29111,1663,,,690,0,0,29111
ZCTA5 29122,40,,,17,0,0,29122
ZCTA5 29142,5187,,,1559,17,92,29142
ZCTA5 29152,1827,,,644,0,29,29152
ZCTA5 29161,11261,,,3540,36,167,29161
ZCTA5 29166,849,,,242,0,5,29166
ZCTA5 29170,21555,,,9332,26,214,29170
ZCTA5 29206,19182,,,7837,105,502,29206
ZCTA5 29229,50866,,,21119,57,788,29229
ZCTA5 29323,12489,,,4964,6,169,29323
ZCTA5 29330,8987,,,3586,0,7,29330
ZCTA5 29341,20482,,,7433,1,90,29341
ZCTA5 29351,1329,,,468,0,0,29351
ZCTA5 29355,928,,,357,0,5,29355
ZCTA5 29356,8459,,,2788,0,217,29356
ZCTA5 29379,17485,,,5849,20,115,29379
ZCTA5 29670,9297,,,3704,0,165,29670
ZCTA5 29680,32031,,,14578,0,519,29680
ZCTA5 29681,57959,,,23957,0,1942,29681
ZCTA5 29709,7081,,,2830,0,41,29709
ZCTA5 29724,39,,,7,0,0,29724
ZCTA5 29730,55937,,,22003,41,784,29730
ZCTA5 29745,30697,,,11532,17,576,29745
ZCTA5 29812,11357,,,3938,6,53,29812
ZCTA5 29831,4332,,,1475,0,31,29831
ZCTA5 29842,7462,,,2388,1,87,29842
ZCTA5 29843,1195,,,315,0,24,29843
ZCTA5 29212,29586,,,12339,12,679,29212
ZCTA5 29303,25089,,,8340,47,281,29303
ZCTA5 29365,11211,,,4363,17,129,29365
ZCTA5 29388,15721,,,5988,19,88,29388
ZCTA5 29401,9627,,,2318,6,417,29401
ZCTA5 29405,29677,,,9256,696,494,29405
ZCTA5 29412,40275,,,19644,58,1576,29412
ZCTA5 29423,1035,,,163,0,11,29423
ZCTA5 29426,1888,,,534,0,31,29426
ZCTA5 29003,6510,,,2093,55,25,29003
ZCTA5 29030,1928,,,812,0,14,29030
ZCTA5 29051,2007,,,199,0,0,29051
ZCTA5 29054,9260,,,3366,4,223,29054
ZCTA5 29063,39090,,,17152,10,1116,29063
ZCTA5 29018,2971,,,1053,0,20,29018
ZCTA5 29033,12541,,,5723,31,182,29033
ZCTA5 29052,2111,,,710,46,0,29052
ZCTA5 29069,4393,,,1322,0,98,29069
ZCTA5 29079,10,,,0,0,0,29079
ZCTA5 29108,20890,,,7150,9,182,29108
ZCTA5 29138,11196,,,3588,0,72,29138
ZCTA5 29112,3841,,,1190,0,103,29112
ZCTA5 29127,8339,,,3397,0,114,29127
ZCTA5 29130,5755,,,2106,0,47,29130
ZCTA5 29150,39616,,,12810,106,312,29150
ZCTA5 29204,18709,,,5898,369,337,29204
ZCTA5 29006,10720,,,3566,65,145,29006
ZCTA5 29010,12469,,,3561,0,106,29010
ZCTA5 29031,1136,,,466,0,0,29031
ZCTA5 29048,4825,,,1457,0,72,29048
ZCTA5 29062,131,,,20,0,0,29062
ZCTA5 29065,509,,,236,0,0,29065
ZCTA5 29067,11093,,,3256,0,61,29067
ZCTA5 29073,46555,,,19821,15,747,29073
ZCTA5 29107,2737,,,888,0,58,29107
ZCTA5 29536,16012,,,4096,0,292,29536
ZCTA5 29544,5301,,,1917,1,146,29544
ZCTA5 29565,7836,,,2100,0,164,29565
ZCTA5 29575,18727,,,6402,0,603,29575
ZCTA5 29585,15022,,,4662,12,824,29585
ZCTA5 29630,14972,,,6225,107,376,29630
ZCTA5 29638,3225,,,1112,32,7,29638
ZCTA5 29646,28182,,,9368,52,300,29646
ZCTA5 29651,47493,,,18562,55,956,29651
ZCTA5 29654,9306,,,3389,0,183,29654
ZCTA5 29662,15696,,,7027,20,320,29662
ZCTA5 29669,12058,,,4614,0,78,29669
ZCTA5 29828,689,,,141,0,13,29828
ZCTA5 29801,28308,,,9450,0,372,29801
ZCTA5 29816,971,,,280,0,12,29816
ZCTA5 29826,119,,,51,0,0,29826
ZCTA5 29469,880,,,348,0,15,29469
ZCTA5 29479,6758,,,2072,0,86,29479
ZCTA5 29483,81942,,,31210,261,1690,29483
ZCTA5 29487,2999,,,951,4,99,29487
ZCTA5 29506,20823,,,6693,68,243,29506
ZCTA5 29511,4986,,,2092,0,71,29511
ZCTA5 29516,1038,,,422,0,11,29516
ZCTA5 29519,228,,,19,0,59,29519
ZCTA5 29526,46369,,,16872,124,876,29526
ZCTA5 30339,23373,,,13181,86,1227,30339
ZCTA5 30401,13598,,,3811,177,191,30401
ZCTA5 30452,1372,,,432,0,97,30452
ZCTA5 30455,465,,,140,0,0,30455
ZCTA5 30457,5885,,,1627,0,42,30457
ZCTA5 30467,12070,,,3937,2,167,30467
ZCTA5 30504,26966,,,9279,0,411,30504
ZCTA5 30510,9042,,,2644,6,145,30510
ZCTA5 30354,16398,,,4543,1019,240,30354
ZCTA5 30421,3322,,,919,2,147,30421
ZCTA5 30434,5386,,,1665,1,53,30434
ZCTA5 30436,12092,,,3491,19,133,30436
ZCTA5 30441,1701,,,547,0,40,30441
ZCTA5 30448,76,,,13,0,0,30448
ZCTA5 30456,1936,,,593,0,1,30456
ZCTA5 30461,14366,,,5604,1,195,30461
ZCTA5 30471,5085,,,1406,7,2,30471
ZCTA5 30512,21080,,,6186,0,444,30512
ZCTA5 30522,897,,,228,14,20,30522
ZCTA5 30552,1805,,,512,0,59,30552
ZCTA5 30530,6330,,,1979,0,100,30530
ZCTA5 30535,7431,,,2565,14,57,30535
ZCTA5 30548,18630,,,6938,75,687,30548
ZCTA5 30017,24416,,,9348,46,948,30017
ZCTA5 30025,9308,,,3696,13,234,30025
ZCTA5 30038,39104,,,14152,845,739,30038
ZCTA5 30052,65959,,,24794,173,1363,30052
ZCTA5 30055,3306,,,1129,0,34,30055
ZCTA5 30071,25218,,,8304,183,325,30071
ZCTA5 30019,49262,,,19456,147,2126,30019
ZCTA5 30005,40056,,,15136,114,2690,30005
ZCTA5 30008,31982,,,10071,253,720,30008
ZCTA5 30022,68807,,,28141,34,4216,30022
ZCTA5 30024,77334,,,30943,553,3475,30024
ZCTA5 30041,66531,,,24776,196,3819,30041
ZCTA5 30066,55548,,,23803,62,2636,30066
ZCTA5 30082,29011,,,13020,207,1121,30082
ZCTA5 30083,58323,,,18111,2630,1301,30083
ZCTA5 30094,34928,,,13291,181,388,30094
ZCTA5 30113,6649,,,1689,0,76,30113
ZCTA5 30125,23814,,,8555,38,436,30125
ZCTA5 30145,7142,,,2777,0,151,30145
ZCTA5 30148,861,,,484,0,0,30148
ZCTA5 30152,43310,,,17408,243,1924,30152
ZCTA5 30204,12940,,,3922,0,155,30204
ZCTA5 30215,36441,,,14148,26,1432,30215
ZCTA5 30217,9144,,,3287,12,37,30217
ZCTA5 30218,1628,,,446,0,34,30218
ZCTA5 30223,36986,,,11490,26,194,30223
ZCTA5 30233,23245,,,7828,13,252,30233
ZCTA5 30248,25161,,,8631,116,715,30248
ZCTA5 30253,55176,,,20652,256,1763,30253
ZCTA5 30256,2589,,,947,0,36,30256
ZCTA5 30268,10434,,,3163,44,211,30268
ZCTA5 30273,14663,,,6255,0,327,30273
ZCTA5 30274,35347,,,12377,553,361,30274
ZCTA5 30288,9230,,,3196,90,123,30288
ZCTA5 30296,28671,,,10351,324,326,30296
ZCTA5 30303,6719,,,723,250,231,30303
ZCTA5 30501,29629,,,9678,63,336,30501
ZCTA5 30513,11753,,,3405,0,229,30513
ZCTA5 30519,46415,,,18813,321,1074,30519
ZCTA5 30545,698,,,228,0,48,30545
ZCTA5 30549,24892,,,9316,0,714,30549
ZCTA5 30571,3545,,,1309,0,108,30571
ZCTA5 30602,2824,,,223,152,37,30602
ZCTA5 30828,4205,,,1568,2,32,30828
ZCTA5 30016,54242,,,19618,69,890,30016
ZCTA5 30101,58041,,,23462,120,2603,30101
ZCTA5 30582,5038,,,1455,0,64,30582
ZCTA5 30665,67,,,21,0,0,30665
ZCTA5 30734,3779,,,1265,0,200,30734
ZCTA5 30328,37111,,,15249,874,1927,30328
ZCTA5 30345,25562,,,10127,480,606,30345
ZCTA5 30411,4766,,,1079,0,11,30411
ZCTA5 30516,2012,,,653,0,17,30516
ZCTA5 30525,7305,,,2228,0,53,30525
ZCTA5 30541,1580,,,444,0,26,30541
ZCTA5 30683,6601,,,2375,19,118,30683
ZCTA5 30547,3209,,,1201,0,42,30547
ZCTA5 30555,2273,,,739,0,8,30555
ZCTA5 30746,940,,,283,18,0,30746
ZCTA5 30725,4646,,,1805,0,97,30725
ZCTA5 30728,20609,,,7294,25,288,30728
ZCTA5 30747,15438,,,4336,8,96,30747
ZCTA5 30752,8463,,,3221,5,119,30752
ZCTA5 30906,58114,,,17541,110,339,30906
ZCTA5 30002,5920,,,2191,134,316,30002
ZCTA5 30011,15428,,,5909,44,230,30011
ZCTA5 30033,32968,,,12517,695,1561,30033
ZCTA5 30040,70510,,,26257,121,3813,30040
ZCTA5 30043,90675,,,36019,361,3119,30043
ZCTA5 30079,2824,,,1163,16,44,30079
ZCTA5 30104,4960,,,1975,0,43,30104
ZCTA5 30106,21742,,,8200,132,672,30106
ZCTA5 30121,23373,,,9289,87,447,30121
ZCTA5 30122,25786,,,11000,116,631,30122
ZCTA5 30182,2498,,,953,0,77,30182
ZCTA5 30184,6612,,,2182,26,261,30184
