Name,Population,Population II,Male Population,Drive to Work - Solo Driver,Public Transportation,Work from Home,Median Income,Zipcode
ZCTA5 71962,526.0,,,205.0,0.0,0.0,27981.0,71962
ZCTA5 71964,3660.0,,,1531.0,0.0,117.0,29741.0,71964
ZCTA5 71292,20463.0,,,7627.0,12.0,214.0,22415.0,71292
ZCTA5 71316,39.0,,,0.0,0.0,0.0,20550.0,71316
ZCTA5 71326,1021.0,,,323.0,7.0,0.0,25167.0,71326
ZCTA5 71331,1045.0,,,376.0,0.0,8.0,34107.0,71331
ZCTA5 71749,2493.0,,,752.0,45.0,0.0,22243.0,71749
ZCTA5 70723,1303.0,,,406.0,24.0,0.0,25398.0,70723
ZCTA5 71720,2320.0,,,888.0,0.0,0.0,29286.0,71720
ZCTA5 70721,834.0,,,119.0,0.0,0.0,26406.0,70721
ZCTA5 70722,4865.0,,,1749.0,11.0,32.0,24600.0,70722
ZCTA5 70729,965.0,,,269.0,0.0,0.0,17831.0,70729
ZCTA5 70739,14484.0,,,5832.0,0.0,249.0,33915.0,70739
ZCTA5 70754,13120.0,,,4754.0,0.0,225.0,31043.0,70754
ZCTA5 70772,843.0,,,343.0,7.0,0.0,26536.0,70772
ZCTA5 70052,3787.0,,,1278.0,0.0,67.0,23766.0,70052
ZCTA5 70091,332.0,,,64.0,0.0,12.0,23580.0,70091
ZCTA5 70113,7699.0,,,1329.0,369.0,158.0,16388.0,70113
ZCTA5 70346,11388.0,,,3008.0,0.0,14.0,16507.0,70346
ZCTA5 70355,1210.0,,,510.0,0.0,0.0,28942.0,70355
ZCTA5 70002,20748.0,,,8459.0,139.0,361.0,35059.0,70002
ZCTA5 70030,3628.0,,,1364.0,0.0,84.0,33363.0,70030
ZCTA5 70036,1052.0,,,425.0,0.0,19.0,25423.0,70036
ZCTA5 70038,250.0,,,69.0,0.0,0.0,-666666666.0,70038
ZCTA5 70037,16104.0,,,6927.0,0.0,104.0,34297.0,70037
ZCTA5 70039,2691.0,,,929.0,0.0,22.0,19983.0,70039
ZCTA5 70067,2888.0,,,938.0,0.0,70.0,25465.0,70067
ZCTA5 70071,3302.0,,,1106.0,27.0,12.0,22356.0,70071
ZCTA5 70072,56308.0,,,20602.0,421.0,569.0,26669.0,70072
ZCTA5 70075,5823.0,,,2534.0,0.0,51.0,35660.0,70075
